NAME,B25077_001E,state_median_value,place_median_value,B25102_001E,state_property_taxes,place_property_taxes,Effective_Tax_Rate
"Broomfield city, Colorado",576200,08,09280,20238.0,08,09280,3.512322110378341
"Castle Rock town, Colorado",577700,08,12415,21546.0,08,12415,3.729617448502683
"Centennial city, Colorado",578200,08,12815,31356.0,08,12815,5.423037011414735
"Colorado Springs city, Colorado",390500,08,16000,123398.0,08,16000,31.6
"Denver city, Colorado",541500,08,20000,164429.0,08,20000,30.365466297322254
"Fort Collins city, Colorado",485500,08,27425,37255.0,08,27425,7.673532440782699
"Grand Junction city, Colorado",339800,08,31660,16594.0,08,31660,4.883460859329017
"Greeley city, Colorado",347100,08,32155,23777.0,08,32155,6.850187265917603
"Highlands Ranch CDP, Colorado",629200,08,36410,30949.0,08,36410,4.918785759694851
"Lakewood city, Colorado",483300,08,43000,42066.0,08,43000,8.70391061452514
"Longmont city, Colorado",465500,08,45970,27720.0,08,45970,5.954887218045113
"Loveland city, Colorado",412300,08,46465,22504.0,08,46465,5.458161532864419
"Pueblo city, Colorado",214500,08,62000,29171.0,08,62000,13.5995337995338
"Thornton city, Colorado",449200,08,77290,36980.0,08,77290,8.232413178984862
"Westminster city, Colorado",457500,08,83835,30424.0,08,83835,6.650054644808743
"Bridgeport city, Connecticut",222800,09,08000,24938.0,09,08000,11.192998204667862
"Hartford city, Connecticut",174100,09,37000,13034.0,09,37000,7.486502010338886
"New Britain city, Connecticut",183300,09,50370,12840.0,09,50370,7.004909983633388
"Norwalk city, Connecticut",478100,09,55990,21196.0,09,55990,4.4333821376281115
"Waterbury city, Connecticut",184300,09,80000,20478.0,09,80000,11.111231687466088
"Wilmington city, Delaware",200900,10,77580,16579.0,10,77580,8.252364360378298
"Washington city, District of Columbia",669900,11,50000,132936.0,11,50000,19.844155844155846
"Alafaya CDP, Florida",346300,12,00410,20104.0,12,00410,5.8053710655501005
"Boca Raton city, Florida",518200,12,07300,27835.0,12,07300,5.3714781937475875
"Boynton Beach city, Florida",284200,12,07875,20730.0,12,07875,7.294159042927515
"Brandon CDP, Florida",276300,12,08150,24495.0,12,08150,8.865363735070575
"Cape Coral city, Florida",291600,12,10275,61776.0,12,10275,21.185185185185183
"Clearwater city, Florida",298000,12,12875,29530.0,12,12875,9.909395973154362
"Coral Springs city, Florida",455000,12,14400,26450.0,12,14400,5.813186813186813
"Davie town, Florida",421300,12,16475,25849.0,12,16475,6.135532874436269
"Daytona Beach city, Florida",218600,12,16525,18023.0,12,16525,8.244739249771271
"Deerfield Beach city, Florida",233400,12,16725,25052.0,12,16725,10.73350471293916
"Delray Beach city, Florida",368900,12,17100,19949.0,12,17100,5.407698563296286
"Deltona city, Florida",229700,12,17200,27954.0,12,17200,12.169786678276012
"Fort Lauderdale city, Florida",395500,12,24000,45636.0,12,24000,11.538811630847029
"Fort Myers city, Florida",334800,12,24125,17570.0,12,24125,5.247909199522103
"Gainesville city, Florida",195300,12,25175,23345.0,12,25175,11.953405017921147
"Hialeah city, Florida",324000,12,30000,35676.0,12,30000,11.011111111111111
"Hollywood city, Florida",322400,12,32000,36410.0,12,32000,11.293424317617866
"Homestead city, Florida",275200,12,32275,14924.0,12,32275,5.4229651162790695
"Jacksonville city, Florida",239400,12,35000,226429.0,12,35000,94.58187134502924
"Kendall CDP, Florida",423700,12,36100,21626.0,12,36100,5.10408307764928
"Kissimmee city, Florida",258900,12,36950,11911.0,12,36950,4.6006179992275005
"Lakeland city, Florida",186700,12,38250,25966.0,12,38250,13.907873594001071
"Largo city, Florida",201700,12,39425,22053.0,12,39425,10.93356470004958
"Lauderhill city, Florida",251700,12,39550,13868.0,12,39550,5.509733810091379
"Lehigh Acres CDP, Florida",235300,12,39925,29441.0,12,39925,12.51211219719507
"Melbourne city, Florida",234400,12,43975,23745.0,12,43975,10.130119453924914
"Miami city, Florida",411300,12,45000,58463.0,12,45000,14.214198881594942
"Miami Beach city, Florida",581200,12,45025,14462.0,12,45025,2.4883000688231247
"Miami Gardens city, Florida",320600,12,45060,23159.0,12,45060,7.2236431690580165
"Miramar city, Florida",374600,12,45975,31043.0,12,45975,8.286972770955686
"North Port city, Florida",277100,12,49675,23601.0,12,49675,8.517141826055576
"Orlando city, Florida",319800,12,53000,49048.0,12,53000,15.337085678549093
"Palm Bay city, Florida",228400,12,54000,34798.0,12,54000,15.235551663747811
"Palm Coast city, Florida",274000,12,54200,30396.0,12,54200,11.093430656934308
"Pembroke Pines city, Florida",368400,12,55775,44517.0,12,55775,12.083876221498372
"Pine Hills CDP, Florida",205900,12,56825,13169.0,12,56825,6.395823215152988
"Plantation city, Florida",409400,12,57425,24029.0,12,57425,5.869320957498779
"Poinciana CDP, Florida",233400,12,57900,16412.0,12,57900,7.031705227077978
"Pompano Beach city, Florida",304000,12,58050,27170.0,12,58050,8.9375
"Port Charlotte CDP, Florida",234400,12,58350,23660.0,12,58350,10.093856655290102
"Port St. Lucie city, Florida",284800,12,58715,64490.0,12,58715,22.643960674157306
"Riverview CDP, Florida",291900,12,60950,28742.0,12,60950,9.846522781774581
"St. Petersburg city, Florida",315200,12,63000,70149.0,12,63000,22.255393401015226
"Spring Hill CDP, Florida",230900,12,68350,37177.0,12,68350,16.10090948462538
"Sunrise city, Florida",311500,12,69700,23247.0,12,69700,7.462921348314606
"Tallahassee city, Florida",246100,12,70600,35632.0,12,70600,14.478667208451848
"Tamarac city, Florida",264200,12,70675,20752.0,12,70675,7.854655563966692
"Tampa city, Florida",336200,12,71000,84660.0,12,71000,25.181439619274244
"The Villages CDP, Florida",339700,12,71625,44404.0,12,71625,13.071533706211364
"Town 'n' Country CDP, Florida",275200,12,72145,20766.0,12,72145,7.54578488372093
"Wesley Chapel CDP, Florida",335000,12,75875,17380.0,12,75875,5.188059701492538
"West Palm Beach city, Florida",311000,12,76600,25421.0,12,76600,8.17395498392283
"Albany city, Georgia",100800,13,01052,11091.0,13,01052,11.002976190476192
"Alpharetta city, Georgia",538400,13,01696,16311.0,13,01696,3.0295319465081723
"Athens-Clarke County unified government (balance), Georgia",237100,13,03440,21354.0,13,03440,9.00632644453817
"Atlanta city, Georgia",375500,13,04000,113092.0,13,04000,30.117709720372837
"Augusta-Richmond County consolidated government (balance), Georgia",131900,13,04204,37458.0,13,04204,28.398786959818047
"Columbus city, Georgia",170900,13,19000,39383.0,13,19000,23.04447045055588
"Johns Creek city, Georgia",506100,13,42425,22634.0,13,42425,4.472238688006323
"Macon-Bibb County, Georgia",155800,13,49008,32179.0,13,49008,20.654043645699616
"Roswell city, Georgia",480800,13,67284,25681.0,13,67284,5.34130615640599
"Sandy Springs city, Georgia",588300,13,68516,26977.0,13,68516,4.585585585585585
"Savannah city, Georgia",196900,13,69000,28083.0,13,69000,14.262569832402235
"South Fulton city, Georgia",252500,13,72122,27767.0,13,72122,10.996831683168317
"Warner Robins city, Georgia",147900,13,80508,16030.0,13,80508,10.838404327248142
"Urban Honolulu CDP, Hawaii",733000,15,71550,68458.0,15,71550,9.339427012278307
"Boise City city, Idaho",460200,16,08830,62684.0,16,08830,13.621034332898741
"Idaho Falls city, Idaho",311100,16,39700,16317.0,16,39700,5.2449373191899715
"Meridian city, Idaho",448100,16,52120,36929.0,16,52120,8.24124079446552
"Nampa city, Idaho",350800,16,56260,26593.0,16,56260,7.58067274800456
"Arlington Heights village, Illinois",376800,17,02154,23138.0,17,02154,6.1406581740976645
"Aurora city, Illinois",232400,17,03012,43361.0,17,03012,18.657917383820998
"Bloomington city, Illinois",185400,17,06613,20370.0,17,06613,10.98705501618123
"Champaign city, Illinois",176700,17,12385,17362.0,17,12385,9.825693265421618
"Chicago city, Illinois",297300,17,14000,530977.0,17,14000,178.59973091153716
"Cicero town, Illinois",220100,17,14351,13719.0,17,14351,6.233075874602453
"Decatur city, Illinois",87000,17,18823,19784.0,17,18823,22.740229885057474
"Elgin city, Illinois",233200,17,23074,28944.0,17,23074,12.411663807890223
"Evanston city, Illinois",440100,17,24582,17816.0,17,24582,4.04817087025676
"Joliet city, Illinois",227500,17,38570,38308.0,17,38570,16.83868131868132
"Naperville city, Illinois",456400,17,51622,40971.0,17,51622,8.976993865030675
"Palatine village, Illinois",319400,17,57225,18032.0,17,57225,5.645585472761427
"Peoria city, Illinois",124500,17,59000,30386.0,17,59000,24.406425702811248
"Rockford city, Illinois",101700,17,65000,31284.0,17,65000,30.761061946902657
"Schaumburg village, Illinois",278100,17,68003,19903.0,17,68003,7.156778137360662
"Springfield city, Illinois",140100,17,72000,33394.0,17,72000,23.835831548893648
"Waukegan city, Illinois",166500,17,79293,15438.0,17,79293,9.272072072072072
"Bloomington city, Indiana",249900,18,05860,12039.0,18,05860,4.817527010804322
"Carmel city, Indiana",391300,18,10342,28830.0,18,10342,7.367748530539228
"Evansville city, Indiana",111800,18,22000,29130.0,18,22000,26.05545617173524
"Fishers city, Indiana",333300,18,23278,27512.0,18,23278,8.254425442544253
"Fort Wayne city, Indiana",155600,18,25000,68004.0,18,25000,43.70437017994859
"Hammond city, Indiana",131700,18,31000,17877.0,18,31000,13.574031890660592
"Indianapolis city (balance), Indiana",188700,18,36003,201149.0,18,36003,106.59724430312664
"Lafayette city, Indiana",152400,18,40788,15768.0,18,40788,10.346456692913385
"Noblesville city, Indiana",266300,18,54180,17451.0,18,54180,6.553135561396921
"South Bend city, Indiana",114100,18,71000,25976.0,18,71000,22.765994741454865
"Ames city, Iowa",237200,19,01855,11138.0,19,01855,4.695615514333895
"Ankeny city, Iowa",283900,19,02305,18862.0,19,02305,6.6438886932018315
"Cedar Rapids city, Iowa",165500,19,12000,42205.0,19,12000,25.501510574018127
"Davenport city, Iowa",146000,19,19000,29408.0,19,19000,20.142465753424656
"Des Moines city, Iowa",165100,19,21000,57606.0,19,21000,34.8915808600848
"Iowa City city, Iowa",255000,19,38595,14802.0,19,38595,5.804705882352941
"Sioux City city, Iowa",153800,19,73335,23780.0,19,73335,15.461638491547463
"Waterloo city, Iowa",133700,19,82425,18803.0,19,82425,14.06357516828721
"West Des Moines city, Iowa",267500,19,83910,18808.0,19,83910,7.0310280373831775
"Kansas City city, Kansas",140200,20,36000,34631.0,20,36000,24.70114122681883
"Lawrence city, Kansas",229400,20,38900,17610.0,20,38900,7.676547515257193
"Olathe city, Kansas",314300,20,52575,40494.0,20,52575,12.883868915049316
"Overland Park city, Kansas",352000,20,53775,50359.0,20,53775,14.30653409090909
"Shawnee city, Kansas",312800,20,64500,19611.0,20,64500,6.2695012787723785
"Topeka city, Kansas",123400,20,71000,32592.0,20,71000,26.41166936790924
"Wichita city, Kansas",165700,20,79000,91527.0,20,79000,55.236572118286055
"Bowling Green city, Kentucky",233500,21,08902,10347.0,21,08902,4.431263383297645
"Lexington-Fayette urban county, Kentucky",242400,21,46027,75129.0,21,46027,30.993811881188122
"Louisville/Jefferson County metro government (balance), Kentucky",203900,21,48006,161709.0,21,48006,79.30799411476214
"Baton Rouge city, Louisiana",199600,22,05000,41267.0,22,05000,20.6748496993988
"Kenner city, Louisiana",214300,22,39475,15833.0,22,39475,7.3882407839477375
"Lafayette city, Louisiana",214800,22,40735,27542.0,22,40735,12.822160148975792
"Lake Charles city, Louisiana",178800,22,41155,17981.0,22,41155,10.056487695749441
"Metairie CDP, Louisiana",283200,22,50115,41034.0,22,50115,14.489406779661017
"New Orleans city, Louisiana",279100,22,55000,83516.0,22,55000,29.92332497312791
"Shreveport city, Louisiana",161500,22,70000,40664.0,22,70000,25.17894736842105
"Baltimore city, Maryland",193100,24,04000,123249.0,24,04000,63.82651475919213
"Columbia CDP, Maryland",448300,24,19125,27629.0,24,19125,6.163060450591122
"Frederick city, Maryland",339200,24,30325,20226.0,24,30325,5.962853773584905
"Gaithersburg city, Maryland",418000,24,31175,12715.0,24,31175,3.041866028708134
"Germantown CDP, Maryland",373500,24,32025,20251.0,24,32025,5.421954484605087
"Glen Burnie CDP, Maryland",316600,24,32650,18169.0,24,32650,5.738787113076437
"Rockville city, Maryland",605600,24,67675,14315.0,24,67675,2.363771466314399
"Silver Spring CDP, Maryland",545500,24,72450,13362.0,24,72450,2.4494958753437213
"Waldorf CDP, Maryland",354000,24,81175,20884.0,24,81175,5.899435028248588
"Boston city, Massachusetts",659700,25,07000,94497.0,25,07000,14.324238290131877
"Brockton city, Massachusetts",367500,25,09000,22265.0,25,09000,6.058503401360544
"Cambridge city, Massachusetts",1006100,25,11000,15825.0,25,11000,1.5729052778053871
"Fall River city, Massachusetts",347600,25,23000,14424.0,25,23000,4.149597238204833
"Haverhill city, Massachusetts",420900,25,29405,15244.0,25,29405,3.6217628890472793
"Lawrence city, Massachusetts",377500,25,34550,8775.0,25,34550,2.3245033112582782
"Lowell city, Massachusetts",380400,25,37000,19774.0,25,37000,5.198212407991588
"Lynn city, Massachusetts",423800,25,37490,19807.0,25,37490,4.673666823973573
"New Bedford city, Massachusetts",305600,25,45000,16974.0,25,45000,5.554319371727749
"Springfield city, Massachusetts",198200,25,67000,28013.0,25,67000,14.133703329969727
"Worcester city, Massachusetts",317800,25,82000,32714.0,25,82000,10.293895531780993
"Ann Arbor city, Michigan",398600,26,03000,23474.0,26,03000,5.889111891620672
"Dearborn city, Michigan",180900,26,21000,24777.0,26,21000,13.696517412935325
"Detroit city, Michigan",69300,26,22000,129084.0,26,22000,186.26839826839827
"Farmington Hills city, Michigan",301600,26,27440,22429.0,26,27440,7.436671087533156
"Flint city, Michigan",49300,26,29000,18337.0,26,29000,37.1947261663286
"Grand Rapids city, Michigan",206200,26,34000,44840.0,26,34000,21.7458777885548
"Kalamazoo city, Michigan",157600,26,42160,13196.0,26,42160,8.373096446700508
"Lansing city, Michigan",109900,26,46000,28084.0,26,46000,25.554140127388536
"Livonia city, Michigan",251500,26,49000,33409.0,26,49000,13.283896620278329
"Novi city, Michigan",358400,26,59440,18798.0,26,59440,5.244977678571429
"Rochester Hills city, Michigan",354000,26,69035,21367.0,26,69035,6.035875706214689
"Southfield city, Michigan",208000,26,74900,19567.0,26,74900,9.407211538461539
"Sterling Heights city, Michigan",237300,26,76460,39904.0,26,76460,16.815844922039613
"Troy city, Michigan",375600,26,80700,25017.0,26,80700,6.6605431309904155
"Warren city, Michigan",170000,26,84000,40699.0,26,84000,23.940588235294115
"Westland city, Michigan",164700,26,86000,23179.0,26,86000,14.073466909532485
"Wyoming city, Michigan",192400,26,88940,17907.0,26,88940,9.307172557172558
"Blaine city, Minnesota",297300,27,06382,21808.0,27,06382,7.3353514968045745
"Bloomington city, Minnesota",319600,27,06616,25588.0,27,06616,8.006257822277847
"Brooklyn Park city, Minnesota",297500,27,07966,22771.0,27,07966,7.654117647058824
"Duluth city, Minnesota",211300,27,17000,21949.0,27,17000,10.387600567912921
"Eagan city, Minnesota",345500,27,17288,20075.0,27,17288,5.810419681620839
"Lakeville city, Minnesota",398700,27,35180,21609.0,27,35180,5.419864559819413
"Maple Grove city, Minnesota",373100,27,40166,23783.0,27,40166,6.374430447601179
"Minneapolis city, Minnesota",319100,27,43000,93981.0,27,43000,29.45189595738013
"Plymouth city, Minnesota",439100,27,51730,23814.0,27,51730,5.4233659758597135
